TrialID,EdgeWeight,GenWeight,BetweenessWeight,TopOneRankRatio,MeanAveragePrecision
0,0.1316890587027369,0.26323876279900443,0.6050721784982588,0.835,0.9069642857142857
1,0.08625373050787392,0.17240449882388117,0.7413417706682449,0.77,0.8684999999999999
2,0.22993399904676207,0.09120051062681167,0.6788654903264262,0.84,0.9135
3,0.12200669287794112,0.18217602538388386,0.6958172817381751,0.8,0.8876666666666666
4,0.08817321313137336,0.15208523034360505,0.7597415565250216,0.8,0.8876666666666666
5,0.08347144107467344,0.24906476135926212,0.6674637975660646,0.8,0.8870833333333333
6,0.6003882749312511,0.08844234537879109,0.3111693796899577,0.835,0.9091666666666667
7,0.6003885347680924,0.1018736104529977,0.2977378547789099,0.89,0.9393333333333334
8,0.07315022694060713,0.20348005479740994,0.7233697182619829,0.83,0.9048809523809525
9,0.18441405067017566,0.15212949818111188,0.6634564511487124,0.83,0.9051666666666667
10,0.22862466608925158,0.22861905941409444,0.5427562744966541,0.815,0.8955
11,0.1403414367370376,0.13192427764129164,0.7277342856216709,0.85,0.91375
12,0.09783430993216098,0.19567656093941124,0.7064891291284278,0.87,0.9279166666666667
13,0.479659966478232,0.32053412767707196,0.19980590584469612,0.845,0.9170833333333333
14,0.1779460273121857,0.23530544309750934,0.586748529590305,0.795,0.8866666666666667
15,0.21148025135282766,0.14101370451675152,0.6475060441304209,0.845,0.9143333333333333
16,0.12582298802298125,0.18361419200079923,0.6905628199762195,0.825,0.9045833333333333
17,0.045272860473774795,0.16714253996301154,0.7875845995632138,0.855,0.9154166666666668
18,0.13887804441716686,0.1893814168353771,0.671740538747456,0.805,0.8958333333333333
19,0.2502512948347666,0.23871851259186788,0.5110301925733657,0.83,0.9053333333333333
20,0.10420670699928324,0.23095324681237858,0.6648400461883383,0.81,0.8970833333333332
21,0.1989014588075095,0.19865799854903,0.6024405426434606,0.885,0.9343333333333333
22,0.1611425354525408,0.11452428643315662,0.7243331781143025,0.825,0.9047499999999999
23,0.2883944277721319,0.10809917467505556,0.6035063975528127,0.83,0.9043333333333333
24,0.5258186587398482,0.27339857200925893,0.2007827692508928,0.88,0.93475
25,0.45164079959333847,0.34855335930615766,0.1998058411005038,0.84,0.9133333333333333
26,0.22075210513306845,0.1171282090840332,0.6621196857828984,0.83,0.9075
27,0.1266125059254754,0.17704081462124358,0.6963466794532811,0.81,0.8885
28,0.20789331783525525,0.20591814648214227,0.5861885356826024,0.845,0.9115476190476189
29,0.09832726265337248,0.1294959369357929,0.7721768004108346,0.83,0.9066666666666667
30,0.1634055241421201,0.1829133741709904,0.6536811016868896,0.835,0.9047916666666667
31,0.17164727318283793,0.19980566597489088,0.6285470608422713,0.82,0.905
32,0.17331051118606247,0.13825722606235932,0.6884322627515782,0.835,0.9122499999999999
33,0.12393259465512414,0.19089293535875407,0.6851744699861217,0.89,0.9376666666666666
34,0.1781189797757866,0.17726636610121194,0.6446146541230015,0.825,0.9041666666666667
35,0.1429225740141845,0.10680616789450605,0.7502712580913095,0.85,0.9179166666666667
36,0.10218138467035612,0.12904112501922668,0.7687774903104172,0.805,0.8886666666666666
37,0.22908116596123296,0.17172675317539107,0.5991920808633762,0.835,0.90975
38,0.1481053372040761,0.2219680154007809,0.6299266473951431,0.85,0.9170833333333333
39,0.10073945867192867,0.21910527807940747,0.6801552632486639,0.83,0.9049166666666666
40,0.19034857260858892,0.11855433195647434,0.6910970954349367,0.825,0.9014166666666666
41,0.21814790313046414,0.20293064809664652,0.5789214487728893,0.83,0.9080833333333334
42,0.27960061672146885,0.2023741656509245,0.5180252176276067,0.86,0.9244642857142857
43,0.16993730283566874,0.15262277943206043,0.6774399177322709,0.835,0.9075
44,0.08278216597879579,0.23825594328099386,0.6789618907402104,0.85,0.9120833333333332
45,0.11744598294548053,0.22594325800510356,0.6566107590494159,0.79,0.8859999999999999
46,0.11385635761258138,0.16831795127295826,0.7178256911144604,0.795,0.88
47,0.11064540206252159,0.1324342849797497,0.7569203129577287,0.845,0.9125
48,0.13045924299406916,0.1571104423295608,0.7124303146763701,0.835,0.9070833333333332
49,0.13668506986544463,0.227055045446031,0.6362598846885246,0.795,0.8859999999999999
